Patient ID,Pearson Correlation,Mutual Information,Bland Altman,PC_zscore,MI_zcore,BA_zscore,PC_FCM,MI_FCM,BA_FCM,PC_KDE,MI_KDE,BA_KDE,PC_WS,MI_WS,BA_WS
Pat8,5.179328877248141,0.92,0.7701434702494774,5.179328877248141,0.96,0.7701434716588463,5.179328877248141,0.96,0.770143469295682,5.179328877248141,0.96,0.7701434703475076,5.179328877248141,0.96,0.7701434718107175
Pat9,5.30766935978731,0.94,0.7758968270206384,5.30766935978731,0.95,0.7758968261065411,5.30766935978731,0.95,0.7758968305293505,5.30766935978731,0.96,0.7758968266724044,5.30766935978731,0.95,0.7758968266785706
Pat11,5.359451595399618,0.95,0.7408649022565298,5.359451595399618,0.95,0.7408649028833301,5.359451595399618,0.94,0.7408649031282373,5.359451595399618,0.94,0.7408649082329,5.359451595399618,0.95,0.7408649025963225
Pat13,5.0310489177846875,0.96,0.680630894865655,5.0310489177846875,0.96,0.6806308942730731,5.0310489177846875,0.96,0.6806308943957478,5.0310489177846875,0.96,0.680630902577167,5.0310489177846875,0.96,0.6806308956500298
Pat14,5.13978204140322,0.93,0.6514669659924259,5.13978204140322,0.96,0.6514669640301431,5.13978204140322,0.96,0.6514669738743092,5.13978204140322,0.96,0.6514669609872074,5.13978204140322,0.96,0.6514669649862611
Pat15,5.319390504522314,0.93,0.6704102215467608,5.319390504522314,0.94,0.670410220367282,5.319390504522314,0.94,0.6704102226718823,5.319390504522314,0.94,0.6704102198193136,5.319390504522314,0.94,0.670410221162177
Pat16,0.8211805755780596,0.95,-0.00884932469297682,0.8211805755780596,0.94,-0.00884932599525434,0.8211805755780596,0.91,-0.008849326936019511,0.8211805755780596,0.92,-0.008849330419405036,0.8211805755780596,0.95,-0.008849327733236894
Pat17,5.180073076683622,0.93,0.7284602436620734,5.180073076683622,0.96,0.7284602445696141,5.180073076683622,0.96,0.7284602426369702,5.180073076683622,0.97,0.7284602447966657,5.180073076683622,0.97,0.7284602453356982
Pat19,5.004952263261298,0.94,0.5957758830474927,5.004952263261298,0.94,0.5957758834371724,5.004952263261298,0.94,0.5957758811904015,5.004952263261298,0.94,0.5957758825014822,5.004952263261298,0.94,0.5957758821422867
Pat21,5.269376048611779,0.96,0.56259196585282,5.269376048611779,0.96,0.5625919651712842,5.269376048611779,0.95,0.56259196532291,5.269376048611779,0.95,0.5625919648533271,5.269376048611779,0.96,0.562591965979643
Pat23,5.457910426192415,0.95,0.648952099842104,5.457910426192415,0.94,0.6489520996142345,5.457910426192415,0.95,0.6489520979104277,5.457910426192415,0.95,0.6489520920062195,5.457910426192415,0.95,0.6489521000596816
Pat24,5.172342784739423,0.96,0.7387969958218977,5.172342784739423,0.96,0.738796994825695,5.172342784739423,0.96,0.7387969937849278,5.172342784739423,0.96,0.7387969971761557,5.172342784739423,0.96,0.7387969957303921
Pat25,5.232599013333032,0.93,0.5777061815173871,5.232599013333032,0.95,0.5777061824642012,5.232599013333032,0.95,0.5777061814111789,5.232599013333032,0.95,0.5777061867494664,5.232599013333032,0.95,0.577706182966218
